,method_num,host_num,content_length,url_len,digits,spec_chars,not_alpha_chars,payload_args,c_len,c_digits,c_spec_chars,c_not_alpha_chars,c_payload_args
0,2,1,0,48,7,7,17,0,0,0,0,0,0
1,2,1,0,126,15,14,40,5,0,0,0,0,0
2,0,1,68,57,7,8,18,0,68,8,5,21,4
3,2,1,0,125,11,14,33,5,0,0,0,0,0
4,0,1,63,61,7,8,18,0,63,4,5,14,4
5,2,1,0,71,8,9,21,1,0,0,0,0,0
6,0,1,4,66,7,8,18,0,4,1,0,2,0
7,2,1,0,58,7,8,18,0,0,0,0,0,0
8,2,1,0,91,7,9,21,1,0,0,0,0,0
9,0,1,33,57,7,8,18,0,33,0,0,2,0
10,2,1,0,59,7,8,18,0,0,0,0,0,0
11,2,1,0,100,12,11,31,3,0,0,0,0,0
12,0,1,43,56,7,8,18,0,43,5,2,12,2
13,2,1,0,60,7,8,18,0,0,0,0,0,0
14,2,1,0,292,50,26,97,13,0,0,0,0,0
15,0,1,232,59,7,8,18,0,232,43,17,78,12
16,2,1,0,75,8,9,22,1,0,0,0,0,0
17,0,1,17,57,7,8,18,0,17,1,0,3,0
18,2,1,0,58,7,8,18,0,0,0,0,0,0
19,2,1,0,55,7,8,18,0,0,0,0,0,0
20,2,1,0,56,7,8,18,0,0,0,0,0,0
21,2,1,0,57,7,8,18,0,0,0,0,0,0
22,2,1,0,67,7,9,19,0,0,0,0,0,0
23,2,1,0,66,7,9,19,0,0,0,0,0,0
24,2,1,0,67,7,9,19,0,0,0,0,0,0
25,2,1,0,57,7,8,18,0,0,0,0,0,0
26,2,1,0,293,41,25,87,13,0,0,0,0,0
27,0,1,234,58,7,8,18,0,234,34,16,68,12
28,2,1,0,57,7,8,18,0,0,0,0,0,0
29,2,1,0,57,7,8,18,0,0,0,0,0,0
30,2,1,0,53,8,8,19,0,0,0,0,0,0
31,2,1,0,53,8,8,19,0,0,0,0,0,0
32,2,1,0,53,8,8,19,0,0,0,0,0,0
33,2,1,0,59,7,8,18,0,0,0,0,0,0
34,2,1,0,56,7,8,18,0,0,0,0,0,0
35,2,1,0,65,7,8,18,0,0,0,0,0,0
36,2,1,0,48,7,7,17,0,0,0,0,0,0
37,2,1,0,130,15,14,40,5,0,0,0,0,0
38,0,1,72,57,7,8,18,0,72,8,5,21,4
39,2,1,0,128,15,14,37,5,0,0,0,0,0
40,0,1,66,61,7,8,18,0,66,8,5,18,4
41,2,1,0,71,8,9,21,1,0,0,0,0,0
42,0,1,4,66,7,8,18,0,4,1,0,2,0
43,2,1,0,58,7,8,18,0,0,0,0,0,0
44,2,1,0,91,7,9,21,1,0,0,0,0,0
45,0,1,33,57,7,8,18,0,33,0,0,2,0
46,2,1,0,59,7,8,18,0,0,0,0,0,0
47,2,1,0,99,11,11,30,3,0,0,0,0,0
48,0,1,42,56,7,8,18,0,42,4,2,11,2
49,2,1,0,60,7,8,18,0,0,0,0,0,0
50,2,1,0,291,42,23,86,13,0,0,0,0,0
51,0,1,231,59,7,8,18,0,231,35,14,67,12
52,2,1,0,75,8,9,22,1,0,0,0,0,0
53,0,1,17,57,7,8,18,0,17,1,0,3,0
54,2,1,0,58,7,8,18,0,0,0,0,0,0
55,2,1,0,55,7,8,18,0,0,0,0,0,0
56,2,1,0,56,7,8,18,0,0,0,0,0,0
57,2,1,0,57,7,8,18,0,0,0,0,0,0
58,2,1,0,67,7,9,19,0,0,0,0,0,0
59,2,1,0,66,7,9,19,0,0,0,0,0,0
60,2,1,0,67,7,9,19,0,0,0,0,0,0
61,2,1,0,57,7,8,18,0,0,0,0,0,0
62,2,1,0,300,48,24,93,13,0,0,0,0,0
63,0,1,241,58,7,8,18,0,241,41,15,74,12
64,2,1,0,57,7,8,18,0,0,0,0,0,0
65,2,1,0,57,7,8,18,0,0,0,0,0,0
66,2,1,0,53,8,8,19,0,0,0,0,0,0
67,2,1,0,53,8,8,19,0,0,0,0,0,0
68,2,1,0,53,8,8,19,0,0,0,0,0,0
69,2,1,0,59,7,8,18,0,0,0,0,0,0
70,2,1,0,56,7,8,18,0,0,0,0,0,0
71,2,1,0,65,7,8,18,0,0,0,0,0,0
72,2,1,0,48,7,7,17,0,0,0,0,0,0
73,2,1,0,129,14,14,39,5,0,0,0,0,0
74,0,1,71,57,7,8,18,0,71,7,5,20,4
75,2,1,0,121,8,13,29,5,0,0,0,0,0
76,0,1,59,61,7,8,18,0,59,1,4,10,4
77,2,1,0,71,8,9,21,1,0,0,0,0,0
